artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Kadie Elder,72ey4Cr2eXXwH9IMlhzuCV,First Time He Kissed a Boy,0.616,0.856,11,-4.901,0,0.0389,0.0238,0.0,0.598,0.63,107.013,26,unknown,44,['unknown'],medium,Positive
Matt Alber,3vsHwtwcRXjwejyfKgj6dX,Handsome Man,0.319,0.176,7,-11.104,1,0.0393,0.863,0.0,0.106,0.306,130.31,23,unknown,20,['unknown'],high,Positive
Steve Grand,7i2xzOJU1O7hrP8kqqBchZ,All-American Boy,0.441,0.709,6,-3.91,1,0.0333,0.084,0.0,0.0851,0.28,131.889,25,queer_country,34,['queer_country'],low,Neutral
Adam Lambert,44aN5xKL3kGHvQ5bXVk6B8,Ghost Town,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955,61,dance_pop idol pop post-teen_pop,67,"['dance_pop', 'idol', 'pop', 'post-teen_pop']",low,Neutral
Queen,09jZZLarDD6MI3eT3ujsEL,I Want To Break Free,0.862,0.402,4,-12.075,1,0.0368,0.0478,0.00499,0.179,0.812,109.157,83,classic_rock glam_rock rock,53,"['classic_rock', 'glam_rock', 'rock']",high,Positive
Soft Cell,1tVzVPIcCFz5QUMGLPHJEc,Tainted Love,0.569,0.493,0,-9.112,0,0.0381,0.106,0.0,0.624,0.616,143.221,61,new_romantic new_wave new_wave_pop synthpop,52,"['new_romantic', 'new_wave', 'new_wave_pop', 'synthpop']",high,Positive
George Michael,1SKApv6ZfJ9bkUxeRObJEF,Freedom! '90,0.675,0.873,5,-7.697,1,0.0441,0.0998,1.48e-05,0.0541,0.817,91.77,70,unknown,59,['unknown'],low,Neutral
Elton John,5nPdMALTEd7HOjn16oNf2X,Don't Go Breaking My Heart,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,82,glam_rock mellow_gold piano_rock,0,"['glam_rock', 'mellow_gold', 'piano_rock']",low,Neutral
Troye Sivan,71T7xF5wLbDRg76jxAwDqA,My My My!,0.701,0.458,1,-7.749,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,77,australian_pop dance_pop pop viral_pop,0,"['australian_pop', 'dance_pop', 'pop', 'viral_pop']",low,Neutral
Kevin Abstract,1AUA7JlrARv430PUJRK0Lp,American Boyfriend,0.463,0.698,1,-4.456,1,0.0368,0.0215,4.65e-06,0.238,0.351,93.072,59,afrofuturism alternative_r&b hip_hop lgbtq+_hip_hop rap,54,"['afrofuturism', 'alternative_r&b', 'hip_hop', 'lgbtq+_hip_hop', 'rap']",low,Neutral
BROCKHAMPTON,0dWOFwdXrbBUYqD9DLsoyK,BLEACH,0.595,0.657,1,-6.498,0,0.183,0.462,0.000597,0.437,0.718,156.093,68,boy_band hip_hop rap,69,"['boy_band', 'hip_hop', 'rap']",low,Neutral
Passion Pit,52a6VcF23v5HB7KfDEmBHq,Carried Away,0.772,0.826,0,-5.135,1,0.0344,0.0176,8.56e-06,0.383,0.871,119.995,58,alternative_dance indie_pop indie_rock indietronica modern_rock pop_rock,60,"['alternative_dance', 'indie_pop', 'indie_rock', 'indietronica', 'modern_rock', 'pop_rock']",low,Neutral
Neon Trees,0l4DTppOxy7NUaEcwXuOb6,Animal,0.482,0.829,5,-5.576,1,0.0437,0.00034,0.0,0.378,0.739,147.99,65,modern_alternative_rock modern_rock pop_rock post-teen_pop rock,65,"['modern_alternative_rock', 'modern_rock', 'pop_rock', 'post-teen_pop', 'rock']",low,Neutral
Taylor Bennett,6m3ZXs465Rt4Tc1iiLktXL,Broad Shoulders (feat. Chance the Rapper),0.6,0.524,0,-9.297,1,0.146,0.822,3.29e-05,0.104,0.449,127.5,45,chicago_rap drill lgbtq+_hip_hop underground_hip_hop,48,"['chicago_rap', 'drill', 'lgbtq+_hip_hop', 'underground_hip_hop']",low,Positive
Simon Curtis,0kW7NQraFEyAhXqaE4cZG0,Flesh,0.577,0.773,1,-2.879,1,0.0766,0.00188,0.0522,0.0809,0.292,130.001,48,electropop otacore post-teen_pop,53,"['electropop', 'otacore', 'post-teen_pop']",low,Neutral
The Irrepressibles,33vDXztradlEuqKLz5BRRZ,Two Men In Love,0.294,0.366,5,-12.346,1,0.036,0.528,0.0594,0.122,0.105,87.027,54,baroque_pop,0,['baroque_pop'],high,Positive
R.E.M.,4PLqctGITm4ve4K9bM1IfV,At My Most Beautiful,0.579,0.339,5,-12.455,1,0.0252,0.776,0.828,0.11,0.238,97.783,71,alternative_rock athens_indie permanent_wave pop_rock rock,0,"['alternative_rock', 'athens_indie', 'permanent_wave', 'pop_rock', 'rock']",high,Positive
MNEK,40hcwo4kW02HIZjqwQ2X27,Tongue,0.679,0.889,8,-5.678,0,0.184,0.00846,0.0,0.123,0.534,106.456,73,tropical_house uk_contemporary_r&b uk_dance uk_pop,27,"['tropical_house', 'uk_contemporary_r&b', 'uk_dance', 'uk_pop']",low,Neutral
SAKIMA,1ZMlftjHNDc9R9bT4pvYZw,Daddy,0.784,0.747,8,-7.583,0,0.0428,0.515,0.00561,0.128,0.59,101.046,37,uk_alternative_pop,50,['uk_alternative_pop'],low,Neutral
Jay Brannan,1IW103k42IhJUyFyJ2hkHF,Housewife,0.639,0.197,4,-8.869,1,0.0273,0.64,0.0,0.17,0.393,100.167,27,acoustic_pop,0,['acoustic_pop'],low,Neutral
Kele Okereke,1X2VBvWQBA7Y3qFF7KorvG,My Guy,0.684,0.407,7,-12.388,1,0.0262,0.0642,0.00219,0.11,0.258,99.993,31,british_singer-songwriter,28,['british_singer-songwriter'],low,Neutral
