artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
LEOPOLD,spotify:track:5SovbUuzIAB6eVStOWYUNA,spotify:artist:2HitUvk40lssir4iFwElKb,Warning Signs,spotify:album:3eNvRPOCWjaY4v076UOx3S,178157,Warning Signs,LEOPOLD
LEOPOLD,spotify:track:7onnVaTTV6Qsp2C8pZIx5c,spotify:artist:2HitUvk40lssir4iFwElKb,Breathe Out,spotify:album:7KRiBVBRGF7j12o8gnY2Em,166666,Breathe Out,LEOPOLD
Lady Gaga,spotify:track:24ySl2hOPGCDcxBxFIqWBu,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Rain On Me (with Ariana Grande),spotify:album:4TqgXMSSTwP3RCo3MMSR6t,182200,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande"
Lil Nas X,spotify:track:67BtfxlNbhBmCDR2L2l8qd,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,MONTERO (Call Me By Your Name),spotify:album:2Hjcfw8zHN4dJDZJGOzLd6,137875,MONTERO (Call Me By Your Name),Lil Nas X
MKSM,spotify:track:0VzyUZi9jb8Ytj0l3HsWBM,spotify:artist:6PrTFzpmEtnqnQzmIYcWjN,Shared Room,spotify:album:6gai3NOHqLyTHFKoyWLrfJ,185850,Shared Room,MKSM
LEOPOLD,spotify:track:5pqgylYeVxCxAarBkBOttq,spotify:artist:2HitUvk40lssir4iFwElKb,Pink Rebel,spotify:album:5WR0PN6MdaqXoENoyeAiHS,146233,Pink Rebel,LEOPOLD
Lady Gaga,spotify:track:30XU4suKzCeoCK9YFzdufg,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Born This Way,spotify:album:6LY3AerY6KNGOPsNPL63Kk,260253,Born This Way (International Special Edition Version),Lady Gaga
Adam Lambert,spotify:track:44aN5xKL3kGHvQ5bXVk6B8,spotify:artist:6prmLEyn4LfHlD9NnXWlf7,Ghost Town,spotify:album:3kaQUt8Mp906u1fI0LDqO6,208330,The Original High (Deluxe Version),Adam Lambert
LEOPOLD,spotify:track:3FzV60mFMH02pa8Gfg8Emd,spotify:artist:2HitUvk40lssir4iFwElKb,Dehydrated,spotify:album:5rcDCjSZlOf80h9DvxkF3s,180509,Dehydrated,LEOPOLD
Andrea Di Giovanni,spotify:track:03sF5nz2cgAYgShbKzNX4N,spotify:artist:6LgSivOZVfHs4mY4TYobQa,Stand Up,spotify:album:6U1eVsjapj48GoDrP7e9TN,171083,Stand Up,Andrea Di Giovanni
Lizzo,spotify:track:3Yh9lZcWyKrK9GjbhuS0hR,spotify:artist:56oDRnqbIiwx4mymNEv7dS,Good as Hell,spotify:album:4CA8GvVF7swZafg0zYh9qq,159735,Good as Hell,Lizzo
Kim Petras,spotify:track:31k41EAntOsjbRBcAASfiL,spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J,Malibu,spotify:album:7AiqBnEFt4gCA9XpKUoZRl,191808,Malibu,Kim Petras
LEOPOLD,spotify:track:6yfjJmCGTfLYtlNr2zUlfb,spotify:artist:2HitUvk40lssir4iFwElKb,Paradise,spotify:album:4RKhyMwEe5W3E3zeEaz5Dn,218142,Paradise,LEOPOLD
Todrick Hall,spotify:track:0nzsxcMmkFwfLB8IJ6Ok9g,spotify:artist:0gBvuNzrFCOVaiyKexoYMH,"Nails, Hair, Hips, Heels",spotify:album:35sdN1DEfjFcOATBtQwHxt,236190,"Haus Party, Pt. 1",Todrick Hall
Ceréna,spotify:track:5nwLNgUGgBsBE4en888WIV,spotify:artist:6jdYcGAF6rLHIf1uc21w37,hearts on fire,spotify:album:6KA4tzrQUIeOZVBhyK2s24,217401,hearts on fire,Ceréna
Kesha,spotify:track:14wPnCr1Z8CIHBVpnpcTVt,spotify:artist:6LqNN22kT3074XbTVUrhzX,Raising Hell (feat. Big Freedia),spotify:album:4HZ195qaMlhiKebUtF36ni,169693,High Road,"Kesha, Big Freedia"
cupcakKe,spotify:track:0lsw4q8Jei7gEoV7kFe3DS,spotify:artist:76SlrtEaq2oViRXulxjfuM,Lgbt,spotify:album:0Gg0Pn44Sh7FYtBDzgc5CF,161332,Audacious,cupcakKe
LEOPOLD,spotify:track:5jVttlApEIi5HVEPEM1Ili,spotify:artist:2HitUvk40lssir4iFwElKb,Girlfriend,spotify:album:6d9uOUh0NovAyxUbyZ2i4Z,152891,Girlfriend,LEOPOLD
Planningtorock,spotify:track:2WG1viSIDuppYqxCDjfq7n,spotify:artist:7qHOphlWaJrfFa0BqpayDG,Let's Talk About Gender Baby,spotify:album:0Cc7BlKV0vZnGPx0fAFqY7,261086,All Love's Legal,Planningtorock
MKSM,spotify:track:5kKhCAkN5POJlOT02AgS4b,spotify:artist:6PrTFzpmEtnqnQzmIYcWjN,Be Alright,spotify:album:6k5KQUeYyFv5VJfJ7IaNqs,189233,Be Alright,MKSM
Adore Delano,spotify:track:3OJ34PxLlQZX8l6Ku0tyTF,spotify:artist:3tdsh4B7GuigHI4vPtUs87,I Adore U,spotify:album:1fjGYWLyDPItMHLbu2QMeQ,222833,Till Death Do Us Party,Adore Delano
Pabllo Vittar,spotify:track:5GsJcnO3rgpZFOrzL2EISO,spotify:artist:6tzRZ39aZlNqlUzQlkuhDV,Flash Pose,spotify:album:7a8LBp4khqUFgSc4j8tVgN,152932,Flash Pose,"Pabllo Vittar, Charli XCX"
Beyoncé,spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Run the World (Girls),spotify:album:1gIC63gC3B7o7FfpPACZQJ,236093,4,Beyoncé
Janelle Monáe,spotify:track:5gW5dSy3vXJxgzma4rQuzH,spotify:artist:6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel,spotify:album:2PjlaxlMunGOUvcRzlTbtE,194230,Dirty Computer,Janelle Monáe
LEOPOLD,spotify:track:6K2xbGNo6xDXIQUIBcLfuq,spotify:artist:2HitUvk40lssir4iFwElKb,GMSTL,spotify:album:4DCNQLSJi1vB3P8CY6fRCW,213429,All I See,LEOPOLD
Gloria Gaynor,spotify:track:4xmjDH6auBwuZ4GHimjXGe,spotify:artist:6V6WCgi7waF55bJmylC4H5,I Will Survive - Single Version,spotify:album:2wV72iMZZu677uYCw2giDC,197573,Colour Collection,Gloria Gaynor
MKSM,spotify:track:1tRGluAnOJhgrMIXr8yrv9,spotify:artist:6PrTFzpmEtnqnQzmIYcWjN,Chosen Family,spotify:album:7sxkWgpW53C2yX2sU7iPb1,189904,Chosen Family,MKSM
Chaka Khan,spotify:track:1oFiPGBafH9Woo9AMwgBSl,spotify:artist:6mQfAAqZGBzIfrmlZCeaYT,I'm Every Woman,spotify:album:2lvaLIoEg3hwL2dybu6zTC,249600,Chaka,Chaka Khan
Melanie C,spotify:track:2bgpF7aLazrxM7YMHdvYOX,spotify:artist:60vX3zLcdKRXvKLITVh5Df,Who I Am,spotify:album:5dtw6GtbfpZ6pCyLWTHhTa,212419,Who I Am,Melanie C
Casey MQ,spotify:track:6Td3TgDprTXpigowgTgp0J,spotify:artist:2LCeCCDzbmCOqnV33eB3q8,Candyboy,spotify:album:4YyCBg1Ja24pptWBoatVlH,202026,babycasey,Casey MQ
LEOPOLD,spotify:track:4KWOWTEbBdyICmaDbYWv8y,spotify:artist:2HitUvk40lssir4iFwElKb,All I See,spotify:album:4DCNQLSJi1vB3P8CY6fRCW,204584,All I See,LEOPOLD
Sam Smith,spotify:track:1fipvP2zmef6vN2IwXfJhY,spotify:artist:2wY79sveU1sp5g7SokKOiI,I’m Ready (with Demi Lovato),spotify:album:44msshHeN6irJ1md7GVSlU,200838,I’m Ready (with Demi Lovato),"Sam Smith, Demi Lovato"
Planningtorock,spotify:track:6XN90Gm9t5YKpvlmrJn11G,spotify:artist:7qHOphlWaJrfFa0BqpayDG,Much to Touch,spotify:album:7b6alDTeGmsWxmcLOBC9j3,282498,Powerhouse,Planningtorock
jaako,spotify:track:3NfY0u2EG8xnBlvJl3vthW,spotify:artist:50z9rmfaP5jMniImSDur7N,want your lies,spotify:album:3kuXi8b8DfnWt2FCizksSZ,129504,want your lies,"jaako, Beni Fahr"
Mykki Blanco,spotify:track:51FNfc26Vj9R7J1mCospQ3,spotify:artist:2tSv9mEQSuNVMGr9qjYfkr,Wish You Would,spotify:album:1yE95lst5ODh8lMBSMlbl0,172953,Spring​/​Summer 2014,"Mykki Blanco, Princess Nokia"
Dorian Electra,spotify:track:4C9DiRUDbryWo0FRjozaoo,spotify:artist:202HZzqKvPsMHcbwnDZx7u,Man To Man,spotify:album:4svcCm5yRZtKE0tXn4n1cn,197757,Flamboyant,Dorian Electra
RuPaul,spotify:track:40fX0BlY8HRW9vtzFuKutC,spotify:artist:2SdOKxC1sSxEyv8JYERaNe,"Read U Wrote U (Ellis Miah Mix) [feat. The Cast of RuPaul's Drag Race All Stars, Season 2]",spotify:album:2oV9XhduLLzxul02gwQ2be,322155,"Read U Wrote U (Ellis Miah Mix) [feat. The Cast of RuPaul's Drag Race All Stars, Season 2]","RuPaul, The Cast of RuPaul's Drag Race All Stars, Season 2"
Cakes da Killa,spotify:track:5XTHtGlwtzGYK1D3gGnW4m,spotify:artist:6MoQZOH2KnQrJhVtO9VoXC,New Phone (Who Dis),spotify:album:6Od4fzT5IooQiJhnfkfD02,214213,Hedonism,Cakes da Killa
Mavi Phoenix,spotify:track:2aiPNEszBHHmdNhwe0SCxF,spotify:artist:0Lt05xaSe2ACmAiSkIdcSm,Romantic Mode,spotify:album:0w4QpAcUNsnrvDegFcZQJ5,153641,Romantic Mode,Mavi Phoenix
LEOPOLD,spotify:track:2inqQSEmM3eh27QoTDo0B9,spotify:artist:2HitUvk40lssir4iFwElKb,Letter,spotify:album:4pNyFDeJ5CynVMjf5tIDDb,161988,Letter,LEOPOLD
Adore Delano,spotify:track:1aOZJX21RtBjHft7ziyGN2,spotify:artist:3tdsh4B7GuigHI4vPtUs87,I Look Fuckin Cool,spotify:album:5pvC99rDKiQjTQno7PtnpL,232359,Till Death Do Us Party,"Adore Delano, Alaska Thunderfuck"
NVDES,spotify:track:6OkXuvyW9lZ2yKLRPeHzCP,spotify:artist:5L6tkH3jDmFBX9dYdFFQXy,D.Y.T. (Do Your Thing),spotify:album:4RVyEpIxyJyadEMiJWVyC6,175417,D.Y.T. (Do Your Thing),"NVDES, REMMI"
Calvin Harris,spotify:track:5N5k9nd479b1xpDZ4usjrg,spotify:artist:7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),spotify:album:2tpWgbBdzjkaJVJzR4T8y1,213309,Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez"
Tokio Hotel,spotify:track:3YISnCr0jpI5MFgrErJid5,spotify:artist:46aNfN89JrOQTCy97GoCHa,Melancholic Paradise,spotify:album:76txjxyeKzKNXzZ4CUU4Co,195339,Melancholic Paradise,Tokio Hotel
MKSM,spotify:track:2YuDDtVuAyQ46fEmPy6XDw,spotify:artist:6PrTFzpmEtnqnQzmIYcWjN,Sirens,spotify:album:0WE4RgA49ILk8uyCO7j4r5,175210,Sirens,MKSM
Dua Lipa,spotify:track:7JSH9jmLF2BfoZmYlQq5I0,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Physical,spotify:album:5SWCH8JoA3iIsDGQxKEJ2Q,193829,Future Nostalgia,Dua Lipa
Netta,spotify:track:6n2eIfLj0wOOUkUfNmYzlh,spotify:artist:4Z4afeDmHFxPmJorIwupbZ,Toy,spotify:album:21YEfZ84TzdjNvOWEdwjeF,180230,Toy,Netta
LEOPOLD,spotify:track:6HspXltwPsVKoKqwCtaveV,spotify:artist:2HitUvk40lssir4iFwElKb,This,spotify:album:1UcxZFDAAe3xaold9XC6ue,218806,This,LEOPOLD
