,Artist,Identity
0,Anna Akana,Bisexual
1,Alpharad,Bisexual
2,Maria Alyokhina,Bisexual
3,Brett Anderson,Bisexual
4,Michael Angelakos,Bisexual
5,Angèle,Bisexual
6,Ängie,Bisexual
7,Anitta,Bisexual
8,Lauren Aquilina,Bisexual
9,Billie Joe Armstrong,Bisexual
10,Aurora,Bisexual
11,Raveena Aurora,Bisexual
12,Josephine Baker,Bisexual 
13,Bali Baby,Bisexual
14,Azealia Banks,Bisexual
15,Alexander Bard,Bisexual
16,Kevin Barnes,Bisexual
17,Nathan Barr,Bisexual
18,Jamie Barton,Bisexual
19,Mark Bautista,Bisexual
20,BbyMutha,Bisexual
21,María Becerra,Bisexual
22,Madison Beer,Bisexual
23,Max Bemis,Bisexual
24,Taylor Bennett,Bisexual
25,Leonard Bernstein,Bisexual
26,Jehnny Beth,Bisexual
27,Bif Naked,Bisexual
28,Tyler Blackburn,Bisexual
29,Blaya,Bisexual
30,Emily Blue,Bisexual
31,Douwe Bob,Bisexual
32,Marc Bolan,Bisexual
33,Henriëtte Bosmans,Bisexual
34,Crystal Bowersox,Bisexual
35,Angie Bowie,Bisexual
36,David Bowie,Bisexual
37,Paul Bowles,Bisexual
38,Apollo Braun,Bisexual
39,Cait Brennan,Bisexual
40,Phoebe Bridgers,Bisexual
41,Carrie Brownstein,Bisexual
42,Gioia Bruno,Bisexual
43,Concha Buika,Bisexual
44,Pete Burns,Bisexual
45,John Cage,Bisexual
46,Paigey Cakey,Bisexual
47,Ann Hampton Callaway,Bisexual
48,Brooke Candy,Bisexual
49,Blas Cantó,Bisexual
50,Vanessa Carlton,Bisexual
51,Ana Carolina,Bisexual
52,Cameron Carpenter,Bisexual
53,Aaron Carter,Bisexual
54,Nell Carter,Bisexual
55,Tyler Carter,Bisexual
56,Andie Case,Bisexual
57,Jack Cassidy,Bisexual
58,Alice Caymmi,Bisexual
59,Cazuza,Bisexual
60,Leslie Cheung,Bisexual
61,Chika,Bisexual
62,MC Chris,Bisexual
63,Clairo,Bisexual
64,Jon Cozart,Bisexual
65,Prince Damien,Bisexual
66,Dave Davies,Bisexual
67,Frenchie Davis,Bisexual
68,Tanya Davis,Bisexual
69,Shane Dawson,Bisexual
70,Daya,Bisexual
71,Victoria De Angelis,Bisexual
72,Bobby DeBarge,Bisexual
73,Deen,Bisexual
74,Gabi Delgado-López,Bisexual
75,Skin Diamond,Bisexual
76,Andy Dick,Bisexual
77,Marlene Dietrich,Bisexual
