artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
Ben Ruettiger,spotify:track:7m6YoApyh8FYdsuYKSPPFX,spotify:artist:07OvSE9ERVJiW0ynMCHvnW,4ever,spotify:album:3KJcqdWaQmEFevs7yuRMRs,182000,4ever,Ben Ruettiger
BAYWUD,spotify:track:4CcZQ8FmJhw8iYv6fytJyj,spotify:artist:3dDdngfjnuthfO2OPYRZqz,Last Call,spotify:album:2JOaRKlkDZyVyIfxwztxFn,178832,Last Call,"BAYWUD, Dvniel"
Eddie the Kidd,spotify:track:1ER7kURmhMiWiPZnZk8OJr,spotify:artist:4sud4uHfRVNMO3KPmFvRR7,This Isn't Love (Kidd and Friends),spotify:album:3kBPTo7Kc9dtdr019ZP118,205661,This Isn't Love (Kidd and Friends),"Eddie the Kidd, NICK WHITE, Kisos"
Popdorian,spotify:track:77hH8JzKxbPP97AU8c6uCt,spotify:artist:6Bu3Ax2o5j2wBeztMGDOCe,Magnificent,spotify:album:5Q9Bm7d4oq71rl9ryKIihZ,191439,Benefits,Popdorian
Madyx,spotify:track:49LWUWtAL729yHN6Wzbcpb,spotify:artist:0yMcs3BSd3sReeuzbyZGVK,Some Kisses,spotify:album:4A6IEKyETSeeeeWqgkG89a,227975,Worth the Risk EP,Madyx
Chey Rose,spotify:track:2NWRR4Hy49RvY57VRRlrBm,spotify:artist:1FLo8t5Xtr2OOWob1rXcOa,when the dust settles,spotify:album:3jk3p2hyzI9VisHWgjgNWF,156607,when the dust settles,Chey Rose
Jay Alan,spotify:track:7fjZMd96X8mo5XfjXOGcFN,spotify:artist:34eH4GyeqQiYobL6coyBW3,Got Feelings,spotify:album:70RPBJstIROl5nSVtB9loW,161632,Got Feelings,Jay Alan
Pikes,spotify:track:1jhh7Od66ONyyI0666tXTb,spotify:artist:3iYk1tEjUMPcs5roPxv533,Second Wind,spotify:album:2adIjHFA8IpktUOqwl19Vb,224750,Second Wind,Pikes
Jay Alan,spotify:track:1Foe9vhMhg1pDB1IPjDqii,spotify:artist:34eH4GyeqQiYobL6coyBW3,Something Slow to Dance To,spotify:album:7vHP3NkZOw5DY1tQiQvHC1,183000,Play Pretend,Jay Alan
Finn Anderson,spotify:track:3IYAwgKQsKVw85EknORkxA,spotify:artist:1AaghaiuseHqI3wMM2W8NL,The Lighthouse,spotify:album:7jdiPKKYZCiQDKwnZoUfWe,257562,Into the Arms of Ghosts,Finn Anderson
Dan Zimmerman,spotify:track:3CdmaLc6l8HZLAeghloJDl,spotify:artist:5aVHACIFGMdOeMv7sjOkhZ,Carry You,spotify:album:6c19uouByfulgHT1eBcpkP,265145,Carry You,Dan Zimmerman
James Walker,spotify:track:0vvLfJccEDISXBp1KurC1H,spotify:artist:08cmuH6uJGH9dQjvvdkTvR,The Conversation - Instrumental,spotify:album:4k1SXSh939bnv6OIuGl7cU,209630,Great Deceiver (Instrumentals),James Walker
Seeva,spotify:track:0E4XFbSbafR9jnqEImhF0O,spotify:artist:5gJzTIxbaGM0Z5EnLYuUxg,Twenty-two,spotify:album:4MhmPW6FAWawJZad2nssgT,163688,Twenty-two,Seeva
Derek DeRush,spotify:track:4b3nZEFqiS95suLWaccZqU,spotify:artist:1CoB404OmK49m2BU97BxLN,Satellites,spotify:album:7iEzPbTZ6SIGoa3vckGwcY,180055,Satellites,Derek DeRush
Vojta,spotify:track:15lHIN8UrUPdCPugF8rW5Y,spotify:artist:06VU2wVPhH9MzYX3PEca80,Equally in Love,spotify:album:7K2AkZKW4ONmTaUVT8MQM4,187500,Equally in Love,Vojta
Martin Baltser,spotify:track:4ZocW2dOgIhCJ1EahWGjiY,spotify:artist:3BmllF2oeeDaPp6taysb0H,Our Rockets,spotify:album:13LgAx1CM3jClGeKUV369Y,264897,Our Rockets,Martin Baltser
Jason Justly,spotify:track:3Kx9eEc5k2PR4zyQIgAmdu,spotify:artist:7F3owyjCMiVQG5xZEwWhx1,Echo,spotify:album:08AXf0iUnQgsDWCAEqLysc,202285,Echo,Jason Justly
Zach Benson,spotify:track:6O75SLCcWpsrL9OsZ0xCZc,spotify:artist:6A3jqWm999qecxHqaz2Ehg,Sunset,spotify:album:76bYh0qgrYTm6CYVehtOuL,216428,Sunset,Zach Benson
Popdorian,spotify:track:3LexowXvObCCnRhp3y6Fax,spotify:artist:6Bu3Ax2o5j2wBeztMGDOCe,Loving you was easier when I was in love with you,spotify:album:5Q9Bm7d4oq71rl9ryKIihZ,242000,Benefits,Popdorian
Fruut,spotify:track:1ws4T5Okwpn7AB26UmDVSf,spotify:artist:5swE2ci4vj5X2DDnHlYrYw,Love Language,spotify:album:6sKVJdwGQfAaCtD2BbTvtU,201063,Love Language,Fruut
Nai'a,spotify:track:7CvrAuatkkmpTd8Pd5iGtl,spotify:artist:5irDXaVVx519HjzQQLPhKp,London,spotify:album:3hRqpKZHmeTEDdfmeBk34o,196000,London,Nai'a
daena,spotify:track:0SqgdCWtr4Gyk1qQEPCKVZ,spotify:artist:6e00lwQmKeUN5Gdbl1LddA,Just the Girl,spotify:album:3nWBNr1MKPQHvqB97gNf7L,264430,Just the Girl,daena
Sundaes,spotify:track:7eO8wa6iuFvPbDNjpfsWeM,spotify:artist:7qiXFwby9N5MEUFATBy5cp,a long kiss goodbye,spotify:album:3cfHsi4Gl3E0VL1QVeGPWL,213068,boys who made me cry,Sundaes
MKSM,spotify:track:5ePF5kBzxYBmYGTQcP54d0,spotify:artist:6PrTFzpmEtnqnQzmIYcWjN,Imagine,spotify:album:7KxxSGGxd1kvuEXPnIl0Hr,178125,Imagine,MKSM
Sem van Loon,spotify:track:6j7C43EAvOYqC7KN5gXBYZ,spotify:artist:1Dcar14dQNQgzhSi0hn0Z7,Half A Man,spotify:album:20BjlNwdtiSTMHFx1h9AJd,165783,Half A Man,Sem van Loon
Winnie Ama,spotify:track:3KRqKQWWQeNDdWYHMO3sWJ,spotify:artist:4DJIumnofpauv3dYkgZSv1,Here I Go,spotify:album:4uaWFq2A3ZGtnr4deRunIv,217058,Here I Go,Winnie Ama
Fox Revett,spotify:track:4CrvS0s1Auok0o34P2hUDw,spotify:artist:3xiEXLKAYB4U9TfkpYWM3F,Someone New,spotify:album:36OuJoRcuGyLBcaiVCtWOM,215888,Someone New,Fox Revett
JËVA,spotify:track:3Km2Uw3VVZXraeZnSUiyZ7,spotify:artist:2vCUQAwdE83viqTMXxy4R3,Good Friends,spotify:album:72Eb9lCRyDffEKTScRbsUp,189283,Typhoon,JËVA
Boy Jr.,spotify:track:07kz5sARL3rJOva2KtSsaC,spotify:artist:7CuIkxF7VfHwKecQzUEGgv,"Narcissist, Baby",spotify:album:2savMtf2uzXrx9q63sJzVA,196231,"Narcissist, Baby",Boy Jr.
SH!NER,spotify:track:4BLgWhUAgq0LhX98XRqEsH,spotify:artist:3jZP3KM1xy78Bz59n6mzTd,god in the mirror,spotify:album:6gePkFCStIRFfD9Zw1tpfh,246460,god in the mirror (EP),SH!NER
Scott Borel,spotify:track:2ys4lkXXShEgQib4SINaar,spotify:artist:3q420zrYYQxfdByEpurTTZ,Control,spotify:album:2lsVw9uARx2rV3zTeWbm1K,146141,Control,Scott Borel
Popdorian,spotify:track:5IUbkfzP7UUeyva4bSjFX6,spotify:artist:6Bu3Ax2o5j2wBeztMGDOCe,Tomorrow I won't be gay,spotify:album:3cOFFZP5MXvPBRNqoxSlDE,216428,Loving you was easier when I was in love with you,Popdorian
Austin Carr,spotify:track:1x9fUhjcQcSnjFXbwKIrz1,spotify:artist:7wbw9KslI7YzqujQRkxDrB,i don't wanna be your friend,spotify:album:4vsXBzWtUrqSQ72GsukwgR,165194,i don't wanna be your friend,Austin Carr
Sara Bares,spotify:track:5hFVUUBjgzNHBld3G9KDvW,spotify:artist:2JpRoSWQ69V9SrA5nwvo7O,Just Like the City,spotify:album:75OByxAlIAlpqd5BhrtAAz,236103,Just Like the City,"Sara Bares, Scott Borel"
Hrtpwr,spotify:track:3une0qtImPBhNktOx68ILL,spotify:artist:62yTlBLRMe9ECopQsDNzCX,Real Big Love,spotify:album:4P7BklOIyXtH4gasB8Thdm,171859,Real Big Love,Hrtpwr
Jess Fitz,spotify:track:0ssqdJYcbAAZxz6LwQ3kjr,spotify:artist:4VQMIJIdaj7VjJp936vtQm,Heartbreaker Energy (Acoustic Version),spotify:album:5L3QD5Uhsmtjcgbs4CWvbP,218450,Acoustic Energy,Jess Fitz
Nobyn,spotify:track:3e3rVW5ayNrzkTIcUBC7wW,spotify:artist:3BPPfYjihKqirB96T6WEmB,Float,spotify:album:1DbwJ8h7nOIJV7ZVZPtfcS,176774,Float,Nobyn
CHILD + the banned,spotify:track:0QvWuDlZnrPLnTVRzYVRIp,spotify:artist:37jg6o775fa2KRD9iEGcNH,I Dreamt,spotify:album:38qgly67CbRcaKudjqsaUa,227828,I Dreamt,CHILD + the banned
Popdorian,spotify:track:6ZtqbK0V9ItdFDeE4N4Wkr,spotify:artist:6Bu3Ax2o5j2wBeztMGDOCe,Gotta have him,spotify:album:5Q9Bm7d4oq71rl9ryKIihZ,169352,Benefits,Popdorian
Dan Zimmerman,spotify:track:286syxeLS84Ps4zW5ConY9,spotify:artist:5aVHACIFGMdOeMv7sjOkhZ,Body,spotify:album:6KJB12IM6T4daE9ECLGcOk,191503,Body,Dan Zimmerman
Andronyx,spotify:track:3sudFjDNIZOp6SZ0I1QyvP,spotify:artist:0bFVMEKm7pFmBvSC2DD1XO,Hide and Seek,spotify:album:5I6FBzlBSeWL0qbgVipqJ9,282600,Hide and Seek,Andronyx
Maple St.,spotify:track:2eh1oJgibTJ0eGbXgOVXy8,spotify:artist:4gGRM0ctqeTWqer59nW0S9,Somewhere Else,spotify:album:2KG3GbMYtaZ5towEeMrJJu,179170,Somewhere Else,Maple St.
Bobby Guard,spotify:track:75rzaMnmCHgeyuwsxGrAqa,spotify:artist:4DCaSD2YuHkBuAYj5b47d1,Your Peace,spotify:album:3aS8Ffqfd5ivHh99jylcQX,253383,Your Peace,"Bobby Guard, Importer"
With Joe,spotify:track:79U6ZnAa31C08EHyPt0LOy,spotify:artist:6DHgMgmAsf8l2kiUyCKww7,Vision In Purple,spotify:album:1bedXHsuczadqZqUT8vPM5,147813,Vision In Purple,With Joe
Jasn the Kid,spotify:track:7vs0qKAOMxTSRooovbvCKJ,spotify:artist:6vTILz5JUdHBA8RjiFxkmK,F*ck Being Cinderella,spotify:album:2ZAjRTOstFDovVcZlCf6Sj,168000,F*ck Being Cinderella,Jasn the Kid
Blueboy,spotify:track:5rRAm0AhRDRY5d93fQgJk2,spotify:artist:6r0hXG2X4GSY1MNj4zLcXi,Boy Crush,spotify:album:5aNarGEeCbuExO4kZqGHAo,175009,Navigate,Blueboy
JËVA,spotify:track:1dqQhxqOSkzhqFjAN0c3Cx,spotify:artist:2vCUQAwdE83viqTMXxy4R3,Good Friends,spotify:album:2qJcExA2ff7usr7GvSGTmG,189283,Good Friends,JËVA
a balladeer,spotify:track:7HWxIBizOFNo505Ljw6IcV,spotify:artist:5MUNbMtqB3EOKxwSJBVJ1U,Swim With Sam - rerecorded,spotify:album:3NSLHcKHZ8422YD7MQO8Ch,263726,Swim With Sam,a balladeer
siovo,spotify:track:64izscyfL2huRxcNEAp5Jo,spotify:artist:00ektSs4zWX7aBQqs5cgST,In meinen Träumen,spotify:album:2hy95VbZmLEZrgqyFtlXFm,160055,In meinen Träumen,"siovo, Localdogs"
Abigail Fierce,spotify:track:1Ux9Ql1kyqa0skExUNerDW,spotify:artist:24q2VAybFrs4Lzy0eEnXga,Scream It to the Whole World,spotify:album:1orSZnxtwZ45Mc9x1MZ20Z,207378,Scream It to the Whole World,Abigail Fierce
Just Shy,spotify:track:5ZNEfjoq7cYiLtrxUnDaIx,spotify:artist:6xZJUaM1vfy9fcuiHfeywG,Consumed By A Beat,spotify:album:78h4whAKaXJb1ZZTy55hDR,203646,Consumed By A Beat,Just Shy
Roger Perelló,spotify:track:6n4l8wd71xhvPNgTScw5LA,spotify:artist:4X8oWezsUAzuhjoO5AN9wx,i am what i am (your beloved man),spotify:album:1KAr43Jayhv8MjLtahVjKj,214000,i am what i am (your beloved man),Roger Perelló
Florian Rose,spotify:track:5uR02KQ9do8LK7H26BPYDK,spotify:artist:75ssEOJczox2KbDPn2udDP,Pomegranate Boy,spotify:album:71r9tH6AzBF8547vIutoZq,200727,Pomegranate Boy,Florian Rose
DAMIÁN,spotify:track:1QVlO28divyjxFO4BaJsUr,spotify:artist:35RzR2xhkJprK8IFafAUtH,This Time I,spotify:album:15rh7LTclmAUPRDzUaXiqm,177800,Finding Joy,"DAMIÁN, Amanda Yang"
Owen Duff,spotify:track:0AW845DiPvcQ8BuAkU0YWv,spotify:artist:1X7n0ASm5m7S9deCBxEIl0,One Word,spotify:album:51Hwytf58JjhgIIBEgASVp,186250,One Word,Owen Duff
MKSM,spotify:track:64xmyB8jP9XAQC6o51Ahxo,spotify:artist:6PrTFzpmEtnqnQzmIYcWjN,Hold Me Down,spotify:album:6KGniI9xMQT8qmurWEhArm,228111,Hold Me Down,MKSM
a balladeer,spotify:track:55Bkv2AAj3r5vz8gd3rPbT,spotify:artist:5MUNbMtqB3EOKxwSJBVJ1U,Winterschläfer,spotify:album:2Nb3udeuppOa0UspvVcC0N,228171,Winterschläfer,a balladeer
Jessye DeSilva,spotify:track:4nRpHB8s2bD1ZXsUbDD6vv,spotify:artist:3LwQ83KEgmU9vdKMvlh0zJ,Queen of the Backyard,spotify:album:6IJB7Ldeb2t4c8BfNzNIkf,288156,Hover,Jessye DeSilva
NIKO,spotify:track:6sHUmmrlI92nwrehhAXWIL,spotify:artist:0Ma0uFv5F33l0oahpy5N6Y,Idol,spotify:album:4RVJH7PTzQrEBP6XSQtDHB,223649,Idol,NIKO
Mel Fine,spotify:track:04VNbsBxAE99HPs0bxrIf3,spotify:artist:7pHXlosvksMuLEjOPlCNMd,In Between.,spotify:album:2geHG4IOcSRAzcfkVanGw3,237983,In Between.,Mel Fine
Nicky Buell,spotify:track:0x51U4P4RntgqBXz5nnnOv,spotify:artist:68k70YNmyjOGsTekZIxXR9,BOY CRAZY,spotify:album:7o5gXsEUvGOLz44ECPYiN8,199634,BOY CRAZY,Nicky Buell
Jafeth Jacobs,spotify:track:4uOAvRu3wmtSG4BaUuKU5x,spotify:artist:42wkDhcLLfJSiLy57IoeGH,Brokenhearted,spotify:album:4cYoWYmmEJFD3xYCuFKajG,195741,Brokenhearted,Jafeth Jacobs
boy cam,spotify:track:6RQZvpe3FP8bdF3rSAIeMJ,spotify:artist:71hu9nXKCY91T5Dj2vijgh,Feelin' Kinda Heavy,spotify:album:4ELdQBgbM1Ozf2wHrPLBUV,264000,Feelin' Kinda Heavy,boy cam
Bay Bryan,spotify:track:5YiMc9Shy3JewTGDfam2tM,spotify:artist:3AI7aR5cD9XZYk8Zha2vsX,Let Go,spotify:album:2SRbpQMdgY9IqOOXvjbX6u,210480,Let Go,Bay Bryan
Pikes,spotify:track:6DuyOIzgWHZPPWrvGMW9aQ,spotify:artist:3iYk1tEjUMPcs5roPxv533,Cool For You,spotify:album:4Iyo4yqIaRyoJ5DH60XlG6,180000,Cool For You,Pikes
Sir Dallan G.,spotify:track:3A0xbkTa0czDgp749a21W9,spotify:artist:3qbsaYPGJAll3ZQ3R9duwv,I Hope I'm Yours,spotify:album:22LC6etuccyM6Q5w7BbIiK,243000,Queer Vespers,Sir Dallan G.
Tawnted,spotify:track:5mPSYvl3VXGU4bbTuzcj65,spotify:artist:7zh1uCj4XNxdWhuRVdc1tR,Narcissism,spotify:album:4whmI23WFavKG4ZmIhAnYt,198699,Narcissism,Tawnted
YawnyBlew,spotify:track:35BjIyeuy2ZwkyTSISOR6T,spotify:artist:4yxxz1g7rGsJdHmWGR6NtK,Dusk,spotify:album:07JInJSZw2gpz85tE7Dik9,158146,Dusk,YawnyBlew
Paper Eros,spotify:track:09z9USvP7ONInhQhD1NbPB,spotify:artist:75EPhnOsH71y3C8YmPoj82,Dystopia,spotify:album:5Nyl9WCpeOk7gusmWMuurc,205090,Dystopia,Paper Eros
K Anderson,spotify:track:5UmsPL3pgBiwGVYslcj7U1,spotify:artist:2hemxJSBMzRDDHNL6eBVXj,Now It's November,spotify:album:69bZ6xcsiMAuntSVFbuXgw,157020,Now It's November,K Anderson
Bobby Guard,spotify:track:1fQgpY8me77920YWvk5VJ9,spotify:artist:4DCaSD2YuHkBuAYj5b47d1,Hi-Lo,spotify:album:1GummpmJQfzYiutj4eCKQ2,237360,Hi-Lo,Bobby Guard
Jamie___rees,spotify:track:2DH2S7WBKi0yUQeW953HuK,spotify:artist:0vddtIN7nv5DIyHh8yjz4o,21,spotify:album:5CDfUCjAnGeAITUuJ9QT6F,280246,21,Jamie___rees
Blush Wilson,spotify:track:7bX6YfYNEIWaFJV3e8Dygf,spotify:artist:2CVt1KZkOP6lSUryG7F4j0,Asylum,spotify:album:4mgssRlL55Bc2g3TjqQvPg,297813,Asylum,Blush Wilson
Anson Jones,spotify:track:0Q27WVS15guQ7plePc2faA,spotify:artist:3xT97ey0BVfOXbVwm17s0s,July,spotify:album:3Q6Jt5pMaycremDfM2Syd1,207240,July,Anson Jones
Charley Furey,spotify:track:3uqOiwVwNkFIjLSKLGpzsm,spotify:artist:0fPCagnvD6MegZX7wKDMSU,Gold,spotify:album:3MNcMagycyVcjelFThpMe1,214468,Gold,Charley Furey
Leon Waldo,spotify:track:1xXWO27NNvpGId70kfnvAp,spotify:artist:1Ry71R0xYI1JcQOHeDaql8,Sundae Sunday,spotify:album:4dhzycsoq0GtdwWyjkhjTa,189310,QUEERWAVE.,Leon Waldo
Hrtpwr,spotify:track:54MllHagLJ5NDLQO32nvID,spotify:artist:62yTlBLRMe9ECopQsDNzCX,Silence,spotify:album:1t96cde4H4vjAIMMMN3o4X,226461,Silence,Hrtpwr
boy cam,spotify:track:3VVfJkaaBZtRcERn7P82j6,spotify:artist:71hu9nXKCY91T5Dj2vijgh,I Know Better,spotify:album:2xBIW2a22aiG7S2ffLMYtb,201230,I Know Better/ Valentines Day,boy cam
River Westin,spotify:track:4FbcIgWaPot2eZqd6fdiEY,spotify:artist:2lMUxSSN84QWXoYTr02xCY,Candy Cigarettes,spotify:album:0Vii5vbxqZTbXLUyGrzdWD,259127,Candy Cigarettes EP,River Westin
Becky Krill,spotify:track:7LROpaCXkTu5BNr40byBC7,spotify:artist:5nxZIgo7DavlytCT1lfCxU,Alive in the Summertime,spotify:album:6fJArtFxqBvELNDGDkns0s,170972,Alive in the Summertime,Becky Krill
Yumeaki,spotify:track:4f1lr0SZwId5t2J7wzMcNX,spotify:artist:4R01RVpb7mz8oC0VzPW2cN,Clownery,spotify:album:23KqZWdfI0iIHwfuqMNjUP,173139,Clownery,Yumeaki
J.R. Price,spotify:track:6hmrT5CLozJGOf46wYc7Qi,spotify:artist:4C53beBDASsx6eAiqLxdCO,Dance with Me,spotify:album:3Q4PwLWHu0egf6dA1Fqr18,238240,Dance with Me,"J.R. Price, Tom Goss"
Sarah Cicero,spotify:track:29KX2ZRIK5Uisl7iSee3bR,spotify:artist:05ivODJOj5tqo3rBmzhy98,Indifferent,spotify:album:6MQG41Z1UtmQSK9DPAPAL9,250133,Indifferent,Sarah Cicero
ICARVS,spotify:track:34dvHmF3K6Il1CArxlFRoB,spotify:artist:4HoHftNXqwK70pSMsIBhNI,Love The Way I Love,spotify:album:0mE7HSgt1gvZpeyhdxCMVg,226341,Love The Way I Love,ICARVS
Laurre,spotify:track:3TgSrGgWJpSjsrSSUjBwZV,spotify:artist:6CUrTYCNmlbfqtGdHRIc5U,Don't Ask,spotify:album:3PoQiRUNkCxD2Wz1o0R0xU,185016,Don't Ask,Laurre
Tawnted,spotify:track:2MVVlWeaEeAs9JBNwFgboy,spotify:artist:7zh1uCj4XNxdWhuRVdc1tR,Let the Rain Come Down,spotify:album:073qeB3uKqW4Slt8A2WF35,160017,Pieces,Tawnted
Big Love and Little Hollywood,spotify:track:3GkL6as11lsXOHLQOLvUod,spotify:artist:6EWhaIgWq8P6AmvXu1q6U0,New Slang,spotify:album:59zcK2BT7xqqOaCbeRxQq0,240195,New Slang,Big Love and Little Hollywood
Ryan Cassata,spotify:track:28v0OK5Qa1ABL1LZkOYFYB,spotify:artist:0tFlCZaGI6bC1XxtfzIhmG,I Met Jesus at the Gay Pride Parade,spotify:album:15WVtgBwrDivOhzbmFvSFn,204033,I Met Jesus at the Gay Pride Parade,Ryan Cassata
Caleb Sanders,spotify:track:0TeoBYeBWlmy1Fbjsfm7dX,spotify:artist:2J15jSwWcT6x5O0TE1aZuF,if i called u up now,spotify:album:0O4cAgR7NCTSjYvFzVGNZx,316463,if i called u up now,Caleb Sanders
Promis3,spotify:track:6bqnbGhZiA2rEFZbLlM8gj,spotify:artist:67klEFn7sTV209voBTSZB8,Don't Wanna Fall in Luv,spotify:album:2PNN9B7cLIDgoAKl7GWysi,178695,Don't Wanna Fall in Luv,Promis3
Your Friend Ben,spotify:track:4DJtaTBrUPR6M0HFlgLQ3F,spotify:artist:0tINT0iewJU6QQ4bqL2oV0,sneakers,spotify:album:7ohvzsBIrmjOkLXoyCZz2c,223953,sneakers,Your Friend Ben
Yavin,spotify:track:4Qv7phtUmENEdLg8C5sCLZ,spotify:artist:7Gfv3zz0llLUQ1HhyHSYTl,Bitter.,spotify:album:5rh11HnFZwDC7rUGIfoacv,214064,Bitter.,Yavin
Jxckson,spotify:track:50CK0IcYGT8iheuGkcjw80,spotify:artist:475aZptPDoQbIY7GlOdpHN,Ready for Love?,spotify:album:6lnqg2Ea1bev7Vo9o5WxAF,186239,Ready for Love?,Jxckson
