,artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
0,Kadie Elder,spotify:track:72ey4Cr2eXXwH9IMlhzuCV,spotify:artist:6y2lKfMfaxfcEmHwU058FG,First Time He Kissed a Boy,spotify:album:1GYbbLzBosZi7MLG12iasq,187977,First Time He Kissed a Boy,Kadie Elder
1,Matt Alber,spotify:track:3vsHwtwcRXjwejyfKgj6dX,spotify:artist:3v2p34eAq6fINTEyJ1w2vK,Handsome Man,spotify:album:5ysULa9YY0ccEAZtxklzln,240920,Wind Sand Stars,Matt Alber
2,Steve Grand,spotify:track:7i2xzOJU1O7hrP8kqqBchZ,spotify:artist:0oqk73d6vKVx8Ekz4onThW,All-American Boy,spotify:album:40nTEfg3tTj1bptrG7IQU0,297410,All American Boy,Steve Grand
3,Adam Lambert,spotify:track:44aN5xKL3kGHvQ5bXVk6B8,spotify:artist:6prmLEyn4LfHlD9NnXWlf7,Ghost Town,spotify:album:3kaQUt8Mp906u1fI0LDqO6,208330,The Original High (Deluxe Version),Adam Lambert
4,Queen,spotify:track:09jZZLarDD6MI3eT3ujsEL,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,I Want To Break Free,spotify:album:5Ck5a5KpFGdl6evWX5ENo8,200973,The Works,Queen
5,Soft Cell,spotify:track:1tVzVPIcCFz5QUMGLPHJEc,spotify:artist:6aq8T2RcspxVOGgMrTzjWc,Tainted Love,spotify:album:1GfUA3buY8Ref28escKLrC,156906,Tainted Love / Where Did Our Love Go,Soft Cell
6,George Michael,spotify:track:1SKApv6ZfJ9bkUxeRObJEF,spotify:artist:19ra5tSw0tWufvUp8GotLo,Freedom! '90,spotify:album:3coLNlyStg9h7f8CZ103Rl,388400,Ladies And Gentlemen... The Best Of George Michael,George Michael
7,Elton John,spotify:track:5nPdMALTEd7HOjn16oNf2X,spotify:artist:3PhoLpVuITZKcymswpck5b,Don't Go Breaking My Heart,spotify:album:6tKgjhjWDMVlgb3a6KoI1x,275440,Rock Of The Westies (Remastered),"Elton John, Kiki Dee"
8,Troye Sivan,spotify:track:71T7xF5wLbDRg76jxAwDqA,spotify:artist:3WGpXCj9YhhfX11TToZcXP,My My My!,spotify:album:6W9vAihnwRgnRJ7griWzLE,204726,My My My!,Troye Sivan
9,Kevin Abstract,spotify:track:1AUA7JlrARv430PUJRK0Lp,spotify:artist:07EcmJpfAday8xGkslfanE,American Boyfriend,spotify:album:1yyCXBEu27Ia1Y3torWIwC,238248,American Boyfriend: A Suburban Love Story,Kevin Abstract
10,BROCKHAMPTON,spotify:track:0dWOFwdXrbBUYqD9DLsoyK,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,BLEACH,spotify:album:5c2AzoNyr46fCQM5d8mxE0,273151,SATURATION III,BROCKHAMPTON
11,Passion Pit,spotify:track:52a6VcF23v5HB7KfDEmBHq,spotify:artist:7gjAu1qr5C2grXeQFFOGeh,Carried Away,spotify:album:14JU5SskmcyckE5I8PY6lv,221973,Gossamer,Passion Pit
12,Neon Trees,spotify:track:0l4DTppOxy7NUaEcwXuOb6,spotify:artist:0RpddSzUHfncUWNJXKOsjy,Animal,spotify:album:6oZ5iDw1LT25svEK0g5OqT,212306,Habits (Spotify),Neon Trees
13,Taylor Bennett,spotify:track:6m3ZXs465Rt4Tc1iiLktXL,spotify:artist:6CqjoQyGZlnhnq5gAUz92c,Broad Shoulders (feat. Chance the Rapper),spotify:album:61KTKfjFX7exj2Od31ulYA,227263,Broad Shoulders,"Taylor Bennett, Chance the Rapper"
14,Simon Curtis,spotify:track:0kW7NQraFEyAhXqaE4cZG0,spotify:artist:4OfvUFjzAjXY8XSWd8MBTE,Flesh,spotify:album:2RUxofdTrjaWmYVnstbP5r,260000,R∆,Simon Curtis
15,The Irrepressibles,spotify:track:33vDXztradlEuqKLz5BRRZ,spotify:artist:1v5bOzXbhrQ57qSvRwGA6s,Two Men In Love,spotify:album:762A3Z51nqkzTN4HgOY9Cs,386773,Nude,The Irrepressibles
16,R.E.M.,spotify:track:4PLqctGITm4ve4K9bM1IfV,spotify:artist:4KWTAlx2RvbpseOGMEmROg,At My Most Beautiful,spotify:album:0NmRiwPIW27JPyoxcwil4z,215200,Up,R.E.M.
17,MNEK,spotify:track:40hcwo4kW02HIZjqwQ2X27,spotify:artist:7uMh23xWiuR7zsNkuNcm2G,Tongue,spotify:album:03TzmqRbP0Cv3KSLJERC3W,210266,Tongue,MNEK
18,SAKIMA,spotify:track:1ZMlftjHNDc9R9bT4pvYZw,spotify:artist:2tg1rWk2rWaltTk0baRjRu,Daddy,spotify:album:6HYn6xlkH5FaJAdFMlyBlI,152079,Ricky,"SAKIMA, ylxr"
19,Jay Brannan,spotify:track:1IW103k42IhJUyFyJ2hkHF,spotify:artist:2F3dZJv3K7T5sLthbp8vYa,Housewife,spotify:album:6PWMQlQPIQPkfGsqxfmZHl,211000,goddamned,Jay Brannan
20,Kele Okereke,spotify:track:1X2VBvWQBA7Y3qFF7KorvG,spotify:artist:4ofO3LyUh6kDM3CTLQasFi,My Guy,spotify:album:1Roqqh9z76dk77g98fiR2E,175560,Universal Love - Wedding Songs Reimagined,Kele Okereke
21,Pet Shop Boys,spotify:track:6HOV3fW5QwECw9YhX58L6V,spotify:artist:2ycnb8Er79LoH2AsR5ldjh,The Night I Fell in Love,spotify:album:5Frq3X2u8cFxA4Bqw8WuL6,304733,Release,Pet Shop Boys
22,Anthony Rapp,spotify:track:3mGyukUfF0uuqXKZbTiPLs,spotify:artist:3GZGJ33pJdAdUL6IQpK8mR,Just Some Guy,spotify:album:7GbmpJ8asvT4bRWznKaevF,242800,Look Around,Anthony Rapp
23,REINDIER,spotify:track:1jeCieFpiT2HthFcMsmEIt,spotify:artist:7B8bcaveMV31zAvok466cK,My Man,spotify:album:2rgH3RktfyVtgEuXGH2x1g,228443,Porcelain EP,REINDIER
24,Shamir,spotify:track:6uV6ez9OSICy0bjBCXcIa7,spotify:artist:7JgXEHI1oEiQICAMeCsKTj,Straight Boy,spotify:album:6w8ykI1LU5XdcXOsmxzW4y,266098,Revelations,Shamir
25,Ezra Furman,spotify:track:2ODYENAvi3VSpQDZ2EDTdP,spotify:artist:1uR7zoLrSRI8bSL43OZ0GY,Suck the Blood from My Wound,spotify:album:3avy9ZvrDRdDQKRcf1kJ6V,289000,Transangelic Exodus,Ezra Furman
26,Bronski Beat,spotify:track:7grRm718788MzsonGq4Y1M,spotify:artist:2wpWOzQE5TpA0dVnh5YD08,Need a Man Blues,spotify:album:6OMYQUITdN6wBaWfEtgooI,259959,The Age of Consent,Bronski Beat
27,The Hound,spotify:track:11C9z1X31MdAJVIRhovvlb,spotify:artist:42aDBJiUp52rpu0bTVlaES,Can't Let You Go,spotify:album:2fHVHSWepiDEIL0mk6W0XN,212544,Can't Let You Go,The Hound
28,Ludlow,spotify:track:4a3wmS6P1kaKA3zNArL0Bt,spotify:artist:1M53T7uktQTvgqM2ui1fui,Nobody Tell a Name (feat. Raury),spotify:album:2XXqBkpXDNhUQw9K4fNj8t,168333,Restoration of an American Idol,"Ludlow, Taylor Bennett, Raury"
29,Dani Umpi,spotify:track:0oXAx3Gj3yW6C8DgoSrRis,spotify:artist:1KYLoFQ7Cwm4eOHruB5OMI,Tebas,spotify:album:5kO3TdH1b1dXZYAhoKYokv,235946,Lechiguanas,Dani Umpi
30,Scissor Sisters,spotify:track:154Ada4WZXskIMnsKiy26u,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,Let's Have A Kiki,spotify:album:2P12s0AcooZGvM6mfgeuw3,230165,Magic Hour (Deluxe),Scissor Sisters
31,morgxn,spotify:track:4I1o10KjPFASPtaFZbwFJ9,spotify:artist:034u8Qcs47NHkRQXaWkLXW,me without you,spotify:album:07hIcfKFcbsOSWpvsGslyE,218293,vital,morgxn
32,Todrick Hall,spotify:track:3eOYEYe2VUsiOSCW53OiZv,spotify:artist:0gBvuNzrFCOVaiyKexoYMH,Wrong Bitch,spotify:album:1abVmBsdc82pIj9CQu7cN0,158222,Straight Outta Oz,"Todrick Hall, Bob the Drag Queen"
33,Perfume Genius,spotify:track:52WTLETEHs5jwCr7LCq0VW,spotify:artist:2ueoLVCXQ948OfhVvAy3Nn,Queen,spotify:album:28FxHb9OJRzAch4DwUUsaT,230719,Too Bright,Perfume Genius
