,Unnamed: 0,artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_pop,genres,track_pop
0,0,Kadie Elder,72ey4Cr2eXXwH9IMlhzuCV,spotify:artist:6y2lKfMfaxfcEmHwU058FG,First Time He Kissed a Boy,spotify:album:1GYbbLzBosZi7MLG12iasq,187977,First Time He Kissed a Boy,Kadie Elder,0.616,0.856,11,-4.901,0,0.0389,0.0238,0.0,0.598,0.63,107.013,audio_features,72ey4Cr2eXXwH9IMlhzuCV,spotify:track:72ey4Cr2eXXwH9IMlhzuCV,https://api.spotify.com/v1/tracks/72ey4Cr2eXXwH9IMlhzuCV,https://api.spotify.com/v1/audio-analysis/72ey4Cr2eXXwH9IMlhzuCV,187978,4,26,unknown,44
1,1,Matt Alber,3vsHwtwcRXjwejyfKgj6dX,spotify:artist:3v2p34eAq6fINTEyJ1w2vK,Handsome Man,spotify:album:5ysULa9YY0ccEAZtxklzln,240920,Wind Sand Stars,Matt Alber,0.319,0.176,7,-11.104,1,0.0393,0.863,0.0,0.106,0.306,130.31,audio_features,3vsHwtwcRXjwejyfKgj6dX,spotify:track:3vsHwtwcRXjwejyfKgj6dX,https://api.spotify.com/v1/tracks/3vsHwtwcRXjwejyfKgj6dX,https://api.spotify.com/v1/audio-analysis/3vsHwtwcRXjwejyfKgj6dX,240920,4,23,unknown,20
2,2,Steve Grand,7i2xzOJU1O7hrP8kqqBchZ,spotify:artist:0oqk73d6vKVx8Ekz4onThW,All-American Boy,spotify:album:40nTEfg3tTj1bptrG7IQU0,297410,All American Boy,Steve Grand,0.441,0.709,6,-3.91,1,0.0333,0.084,0.0,0.0851,0.28,131.889,audio_features,7i2xzOJU1O7hrP8kqqBchZ,spotify:track:7i2xzOJU1O7hrP8kqqBchZ,https://api.spotify.com/v1/tracks/7i2xzOJU1O7hrP8kqqBchZ,https://api.spotify.com/v1/audio-analysis/7i2xzOJU1O7hrP8kqqBchZ,297410,4,25,queer_country,34
3,3,Adam Lambert,44aN5xKL3kGHvQ5bXVk6B8,spotify:artist:6prmLEyn4LfHlD9NnXWlf7,Ghost Town,spotify:album:3kaQUt8Mp906u1fI0LDqO6,208330,The Original High (Deluxe Version),Adam Lambert,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955,audio_features,44aN5xKL3kGHvQ5bXVk6B8,spotify:track:44aN5xKL3kGHvQ5bXVk6B8,https://api.spotify.com/v1/tracks/44aN5xKL3kGHvQ5bXVk6B8,https://api.spotify.com/v1/audio-analysis/44aN5xKL3kGHvQ5bXVk6B8,208330,4,61,dance_pop idol pop post-teen_pop,67
4,107,Adam Lambert,44aN5xKL3kGHvQ5bXVk6B8,spotify:artist:6prmLEyn4LfHlD9NnXWlf7,Ghost Town,spotify:album:3kaQUt8Mp906u1fI0LDqO6,208330,The Original High (Deluxe Version),Adam Lambert,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,119.955,audio_features,44aN5xKL3kGHvQ5bXVk6B8,spotify:track:44aN5xKL3kGHvQ5bXVk6B8,https://api.spotify.com/v1/tracks/44aN5xKL3kGHvQ5bXVk6B8,https://api.spotify.com/v1/audio-analysis/44aN5xKL3kGHvQ5bXVk6B8,208330,4,61,dance_pop idol pop post-teen_pop,67
5,4,Queen,09jZZLarDD6MI3eT3ujsEL,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,I Want To Break Free,spotify:album:5Ck5a5KpFGdl6evWX5ENo8,200973,The Works,Queen,0.862,0.402,4,-12.075,1,0.0368,0.0478,0.00499,0.179,0.812,109.157,audio_features,09jZZLarDD6MI3eT3ujsEL,spotify:track:09jZZLarDD6MI3eT3ujsEL,https://api.spotify.com/v1/tracks/09jZZLarDD6MI3eT3ujsEL,https://api.spotify.com/v1/audio-analysis/09jZZLarDD6MI3eT3ujsEL,200973,4,83,classic_rock glam_rock rock,53
6,5,Soft Cell,1tVzVPIcCFz5QUMGLPHJEc,spotify:artist:6aq8T2RcspxVOGgMrTzjWc,Tainted Love,spotify:album:1GfUA3buY8Ref28escKLrC,156906,Tainted Love / Where Did Our Love Go,Soft Cell,0.569,0.493,0,-9.112,0,0.0381,0.106,0.0,0.624,0.616,143.221,audio_features,1tVzVPIcCFz5QUMGLPHJEc,spotify:track:1tVzVPIcCFz5QUMGLPHJEc,https://api.spotify.com/v1/tracks/1tVzVPIcCFz5QUMGLPHJEc,https://api.spotify.com/v1/audio-analysis/1tVzVPIcCFz5QUMGLPHJEc,156907,4,61,new_romantic new_wave new_wave_pop synthpop,52
7,6,George Michael,1SKApv6ZfJ9bkUxeRObJEF,spotify:artist:19ra5tSw0tWufvUp8GotLo,Freedom! '90,spotify:album:3coLNlyStg9h7f8CZ103Rl,388400,Ladies And Gentlemen... The Best Of George Michael,George Michael,0.675,0.873,5,-7.697,1,0.0441,0.0998,1.48e-05,0.0541,0.817,91.77,audio_features,1SKApv6ZfJ9bkUxeRObJEF,spotify:track:1SKApv6ZfJ9bkUxeRObJEF,https://api.spotify.com/v1/tracks/1SKApv6ZfJ9bkUxeRObJEF,https://api.spotify.com/v1/audio-analysis/1SKApv6ZfJ9bkUxeRObJEF,388400,4,70,unknown,59
8,7,Elton John,5nPdMALTEd7HOjn16oNf2X,spotify:artist:3PhoLpVuITZKcymswpck5b,Don't Go Breaking My Heart,spotify:album:6tKgjhjWDMVlgb3a6KoI1x,275440,Rock Of The Westies (Remastered),"Elton John, Kiki Dee",0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,audio_features,5nPdMALTEd7HOjn16oNf2X,spotify:track:5nPdMALTEd7HOjn16oNf2X,https://api.spotify.com/v1/tracks/5nPdMALTEd7HOjn16oNf2X,https://api.spotify.com/v1/audio-analysis/5nPdMALTEd7HOjn16oNf2X,275440,4,82,glam_rock mellow_gold piano_rock,0
9,8,Troye Sivan,71T7xF5wLbDRg76jxAwDqA,spotify:artist:3WGpXCj9YhhfX11TToZcXP,My My My!,spotify:album:6W9vAihnwRgnRJ7griWzLE,204726,My My My!,Troye Sivan,0.701,0.458,1,-7.749,1,0.0836,0.00407,0.000151,0.045,0.482,102.967,audio_features,71T7xF5wLbDRg76jxAwDqA,spotify:track:71T7xF5wLbDRg76jxAwDqA,https://api.spotify.com/v1/tracks/71T7xF5wLbDRg76jxAwDqA,https://api.spotify.com/v1/audio-analysis/71T7xF5wLbDRg76jxAwDqA,204727,4,77,australian_pop dance_pop pop viral_pop,0
