artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
Joji,spotify:track:6xGruZOHLs39ZbVccQTuPZ,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,Glimpse of Us,spotify:album:6ZZvx0aefZV3LKa053fn71,233456,Glimpse of Us,Joji
j-hope,spotify:track:6wyr4ReB05D9sJB1Rsmcqo,spotify:artist:0b1sIQumIAsNbqAoIClSpy,Chicken Noodle Soup (feat. Becky G),spotify:album:76IRLp7YzBVLKsat6Ro9ae,235497,Chicken Noodle Soup (feat. Becky G),"j-hope, Becky G"
The Altogether,spotify:track:35z474FlwP73zQkK4KtsYv,spotify:artist:6LipWEhF4zwwRY8hFtCQHc,Sophie,spotify:album:00uqSRaPo9q9OOYlL4nS0U,247420,Look Up,The Altogether
Lemon Demon,spotify:track:7LJcVOt1QSkzSxCR3MLmbe,spotify:artist:4llAOeA6kEF4ytaB2fsmcW,Lifetime Achievement Award,spotify:album:4ocal2JegUDVQdP6KN1roI,367043,Spirit Phone,Lemon Demon
BTS,spotify:track:24NuEDgyRIljwSyY0lsr7b,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,Black Swan,spotify:album:4RR8ROIGix5CbCGlXHA53I,198260,Black Swan,BTS
Lemon Demon,spotify:track:1tmRlF5pFo8G5OfJYUjWrR,spotify:artist:4llAOeA6kEF4ytaB2fsmcW,Touch-Tone Telephone,spotify:album:4ocal2JegUDVQdP6KN1roI,282732,Spirit Phone,Lemon Demon
Lemon Demon,spotify:track:0uKK5v0Rl7wkx7DjhMfDIz,spotify:artist:4llAOeA6kEF4ytaB2fsmcW,No Eyed Girl,spotify:album:4ocal2JegUDVQdP6KN1roI,260168,Spirit Phone,Lemon Demon
Lemon Demon,spotify:track:77hzctaLvLRLAh71LwNPE3,spotify:artist:4llAOeA6kEF4ytaB2fsmcW,Spiral of Ants,spotify:album:4ocal2JegUDVQdP6KN1roI,360715,Spirit Phone,Lemon Demon
The Altogether,spotify:track:2Y7xeRouoLEKDTwBHlAFnC,spotify:artist:6LipWEhF4zwwRY8hFtCQHc,Follow Through,spotify:album:7gMJ73FNHGu8YHP3Kkt9Vd,223392,Silo,The Altogether
Jack Stauber's Micropop,spotify:track:5Ek2w5FEPNQMfEwgufiojn,spotify:artist:1yNIb413Bmfs2ZBVuPp9kC,Cheeseburger Family,spotify:album:45WofTIygcH2QIJq07lMy1,248774,Cheeseburger Family / Fighter,Jack Stauber's Micropop
